Stuck, Activated Platelets, All Platelets, Innactive Platelets, Proteins, red blood cells, Frame,
0, 0, 2, 2, 0, 2, 100, 
0, 0, 4, 4, 0, 4, 200, 
0, 0, 6, 6, 0, 6, 300, 
0, 0, 8, 8, 0, 8, 400, 
0, 0, 10, 10, 1, 9, 500, 
0, 0, 12, 12, 1, 9, 600, 
0, 0, 13, 13, 1, 9, 700, 
0, 1, 15, 14, 1, 10, 800, 
0, 1, 16, 15, 2, 10, 900, 
0, 1, 17, 16, 3, 9, 1000, 
0, 2, 18, 16, 3, 9, 1100, 
0, 3, 18, 15, 6, 10, 1200, 
0, 3, 19, 16, 6, 10, 1300, 
0, 3, 21, 18, 6, 11, 1400, 
0, 4, 22, 18, 11, 12, 1500, 
0, 4, 22, 18, 11, 12, 1600, 
0, 5, 21, 16, 11, 12, 1700, 
1, 5, 21, 16, 16, 13, 1800, 
0, 5, 20, 15, 16, 15, 1900, 
0, 5, 21, 16, 17, 16, 2000, 
0, 5, 21, 16, 22, 16, 2100, 
1, 6, 22, 16, 22, 15, 2200, 
1, 7, 22, 15, 22, 15, 2300, 
0, 7, 22, 15, 29, 16, 2400, 
0, 7, 24, 17, 30, 16, 2500, 
0, 8, 25, 17, 30, 16, 2600, 
0, 8, 26, 18, 38, 16, 2700, 
0, 8, 24, 16, 38, 15, 2800, 
0, 8, 25, 17, 38, 13, 2900, 
0, 9, 26, 17, 48, 12, 3000, 
0, 10, 27, 17, 48, 12, 3100, 
0, 11, 27, 16, 48, 11, 3200, 
0, 11, 28, 17, 59, 12, 3300, 
0, 11, 28, 17, 59, 12, 3400, 
0, 11, 27, 16, 60, 10, 3500, 
0, 11, 26, 15, 71, 11, 3600, 
0, 11, 28, 17, 71, 12, 3700, 
0, 12, 28, 16, 71, 12, 3800, 
0, 12, 28, 16, 83, 13, 3900, 
0, 12, 27, 15, 84, 13, 4000, 
0, 12, 28, 16, 84, 13, 4100, 
0, 13, 29, 16, 97, 14, 4200, 
0, 13, 30, 17, 97, 15, 4300, 
0, 15, 31, 16, 97, 14, 4400, 
0, 16, 31, 15, 114, 14, 4500, 
0, 16, 32, 16, 114, 15, 4600, 
0, 16, 32, 16, 113, 15, 4700, 
0, 16, 32, 16, 129, 15, 4800, 
0, 16, 32, 16, 129, 14, 4900, 
0, 16, 30, 14, 130, 14, 5000, 
